Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
JSE:EPP,"EPP N.V. (JSE:EPP)",https://www.listcorp.com/jse/epp/epp-nv,"	9805830000",10.8,0.00,0,Financials
JSE:GTC,"Globe Trade Centre S.A. (JSE:GTC)",https://www.listcorp.com/jse/gtc/globe-trade-centre-sa,"	9670740000",20,0.00,0,Financials
JSE:AIP,"Adcock Ingram Holdings (JSE:AIP)",https://www.listcorp.com/jse/aip/adcock-ingram-holdings,"	9042790000",51.45,0.00,0,"Health Care"
JSE:AIL,"African Rainbow Capital Investments (JSE:AIL)",https://www.listcorp.com/jse/ail/african-rainbow-capital-investments,"	8974050000",6.81,0.00,0,Financials
JSE:RLO,"Reunert Limited (JSE:RLO)",https://www.listcorp.com/jse/rlo/reunert-limited,"	8926610000",48.26,0.00,0,Industrials
JSE:ADH,"ADvTECH Limited (JSE:ADH)",https://www.listcorp.com/jse/adh/advtech-limited,"	8871360000",16,0.00,0,"Consumer Services"
JSE:AFT,"Afrimat Limited (JSE:AFT)",https://www.listcorp.com/jse/aft/afrimat-limited,"	8640280000",59.04,0.00,0,Industrials
JSE:PAN,"Pan African Resources plc (JSE:PAN)",https://www.listcorp.com/jse/pan/pan-african-resources-plc,"	8447120000",3.78,0.00,0,"Basic Materials"
JSE:COH,"Curro Holdings Limited (JSE:COH)",https://www.listcorp.com/jse/coh/curro-holdings-limited,"	8407340000",14.06,0.00,0,"Consumer Services"
JSE:DTC,"Datatec Limited (JSE:DTC)",https://www.listcorp.com/jse/dtc/datatec-limited,"	8276940000",38.15,0.00,0,Technology
JSE:JBL,"Jubilee Metals Group Plc (JSE:JBL)",https://www.listcorp.com/jse/jbl/jubilee-metals-group-plc,"	7580530000",3.12,0.00,0,"Basic Materials"
JSE:OCE,"Oceana Group Limited (JSE:OCE)",https://www.listcorp.com/jse/oce/oceana-group-limited,"	7421570000",56.9,0.00,0,"Consumer Goods"
JSE:THA,"Tharisa plc (JSE:THA)",https://www.listcorp.com/jse/tha/tharisa,"	7342500000",26.7,0.00,0,"Basic Materials"
JSE:PPC,"PPC Limited (JSE:PPC)",https://www.listcorp.com/jse/ppc/ppc-limited,"	7280530000",4.57,0.00,0,Industrials
JSE:ARL,"Astral Foods Limited (JSE:ARL)",https://www.listcorp.com/jse/arl/astral-foods-limited,"	7132820000",166.18,0.00,0,"Consumer Goods"
JSE:CSB,"Cashbuild Limited (JSE:CSB)",https://www.listcorp.com/jse/csb/cashbuild-limited,"	7045130000",281.92,0.00,0,"Consumer Services"
JSE:FBR,"Famous Brands Limited (JSE:FBR)",https://www.listcorp.com/jse/fbr/famous-brands-limited,"	6939010000",69.25,0.00,0,"Consumer Services"
JSE:SSS,"Stor-Age Property REIT (JSE:SSS)",https://www.listcorp.com/jse/sss/stor-age-property-reit,"	6896090000",14.53,0.00,0,Financials
JSE:SUI,"Sun International Limited (JSE:SUI)",https://www.listcorp.com/jse/sui/sun-international-limited,"	6771820000",25.66,0.00,0,"Consumer Services"
JSE:WBO,"Wilson Bayly Holmes-Ovcon Limited (JSE:WBO)",https://www.listcorp.com/jse/wbo/wilson-bayly-holmes-ovcon-limited,"	6698160000",111.84,0.00,0,Industrials
